GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-156.6027,-26540.4313,-4831.7253,122.89590792,-26697.034,-4708.82939208,-31405.86339208
1,-812.9806,-26508.2471,-4772.4165,118.61599536,-27321.2277,-4653.80050464,-31975.02820464
2,-1151.6601,-26384.0991,-4889.4397,121.17310488,-27535.7592,-4768.26659512,-32304.02579512
3,-717.4017,-26367.1897,-4893.7991,120.49471656,-27084.591399999998,-4773.3043834400005,-31857.89578344
4,-548.4921,-26179.0398,-5015.8292,119.93163264,-26727.531899999998,-4895.89756736,-31623.429467359998
5,-308.8189,-26363.7617,-4955.9209,120.58094879999999,-26672.580599999998,-4835.3399512,-31507.920551199997
6,-962.3541,-26507.2214,-4727.2606,116.8246548,-27469.5755,-4610.4359452,-32080.0114452
7,-437.7834,-26463.8738,-4774.9125,116.93021904,-26901.6572,-4657.98228096,-31559.63948096
8,-891.8717,-26295.4835,-4923.1156,119.01028607999999,-27187.355199999998,-4804.10531392,-31991.46051392
9,-674.4274,-26564.6544,-4732.414,120.58734312,-27239.0818,-4611.82665688,-31850.90845688
10,-468.9603,-26355.8038,-4894.5764,122.00355792,-26824.7641,-4772.57284208,-31597.336942079997
11,-120.9851,-26456.5978,-4722.9636,123.59259143999999,-26577.5829,-4599.37100856,-31176.95390856
12,-1051.1908,-26488.2836,-4837.6299,119.56412087999999,-27539.4744,-4718.06577912,-32257.54017912
13,-385.2735,-26453.2241,-4885.4877,119.89396656,-26838.4976,-4765.59373344,-31604.09133344
14,-1178.3039,-26492.7217,-4813.3549,119.35480895999999,-27671.025599999997,-4694.00009104,-32365.02569104
15,-587.9162,-26490.1198,-4791.0284,118.41024816,-27078.036,-4672.61815184,-31750.65415184
16,-659.0857,-26521.5195,-4774.4692,117.4817808,-27180.605199999998,-4656.9874192,-31837.592619199997
17,21.9373,-26647.2317,-4616.2176,117.42794928,-26625.2944,-4498.78965072,-31124.084050719997
18,-252.6008,-26551.3535,-4737.6106,121.49870688,-26803.9543,-4616.11189312,-31420.06619312
19,-398.1282,-26561.0716,-4760.008,120.47966424,-26959.1998,-4639.52833576,-31598.728135759997
20,217.4098,-26585.824,-4757.711,120.0214188,-26368.4142,-4637.6895812,-31006.1037812
21,-810.752,-26389.7142,-4818.2853,120.69786599999999,-27200.4662,-4697.587433999999,-31898.053634
22,-70.133,-26513.2896,-4760.353,119.40663096,-26583.4226,-4640.94636904,-31224.368969040002
23,-203.3488,-26613.133,-4681.5795,120.06795672,-26816.4818,-4561.511543279999,-31377.993343280003
24,-325.4905,-26616.2103,-4638.9043,117.89541576,-26941.7008,-4521.00888424,-31462.709684240002
25,-743.2155,-26579.8539,-4778.2433,121.96021896,-27323.069399999997,-4656.28308104,-31979.352481039994
26,-205.16,-26411.4135,-4946.1412,121.81688855999998,-26616.5735,-4824.32431144,-31440.897811439998
27,-1180.4157,-26690.2585,-4716.3496,121.13146944,-27870.6742,-4595.21813056,-32465.892330560004
28,-284.2862,-26613.7627,-4695.4555,120.2852268,-26898.048899999998,-4575.1702732,-31473.2191732
29,-507.7295,-26644.109,-4708.547,120.29609952,-27151.8385,-4588.2509004799995,-31740.08940048
30,-1123.5285,-26466.7991,-4843.6199,123.8967432,-27590.3276,-4719.7231568,-32310.050756800003
31,-556.0564,-26648.9096,-4729.6157,121.12639343999999,-27204.966,-4608.48930656,-31813.45530656
32,-677.7634,-26596.2723,-4733.3808,120.07164024,-27274.0357,-4613.30915976,-31887.34485976
33,-1043.8907,-26310.4135,-4939.8503,121.81294296,-27354.3042,-4818.03735704,-32172.341557039996
34,-577.942,-26244.7082,-4998.4532,123.05514456,-26822.6502,-4875.39805544,-31698.04825544
35,25.6986,-26283.8767,-4945.9008,123.64630992000001,-26258.1781,-4822.25449008,-31080.43259008
36,-785.7319,-26545.6211,-4708.0558,116.80815384,-27331.353,-4591.24764616,-31922.600646159997
37,22.6839,-26412.1636,-4860.6776,124.167834,-26389.4797,-4736.509766,-31125.989466
38,-524.2468,-26485.3847,-4887.0495,122.87372472,-27009.6315,-4764.17577528,-31773.80727528
39,-753.0013,-26478.1738,-4798.0154,121.18731335999999,-27231.1751,-4676.82808664,-31908.003186640002
40,-828.7169,-26628.3657,-4657.1178,117.44212248,-27457.082599999998,-4539.67567752,-31996.75827752
41,-1020.2758,-26687.6295,-4659.3725,121.13294832,-27707.9053,-4538.239551680001,-32246.14485168
42,449.396,-26370.2451,-4836.0287,122.44318992,-25920.8491,-4713.58551008,-30634.43461008
43,-664.2789,-26447.9098,-4775.2165,118.66737024,-27112.188700000002,-4656.54912976,-31768.73782976
44,-507.3599,-26416.2869,-4829.382,122.01849576,-26923.6468,-4707.363504239999,-31631.01030424
45,-604.0047,-26579.7296,-4795.3764,117.7277508,-27183.7343,-4677.6486492,-31861.3829492
46,-429.9328,-26451.3356,-4855.2808,119.54413728,-26881.268399999997,-4735.736662720001,-31617.005062719996
47,-544.3364,-26531.9823,-4767.5649,119.29479912,-27076.3187,-4648.27010088,-31724.58880088
48,243.4228,-26552.698,-4683.7244,118.69545815999999,-26309.2752,-4565.02894184,-30874.30414184
49,-582.475,-26495.4015,-4706.2444,118.83096719999999,-27077.8765,-4587.4134328,-31665.2899328
50,-1105.6449,-26453.5466,-4783.6621,116.8004052,-27559.1915,-4666.8616948,-32226.053194800003
51,-495.8023,-26461.8774,-4852.3427,120.10760424,-26957.6797,-4732.23509576,-31689.91479576
52,-95.1801,-26552.4892,-4716.025,119.79120024000001,-26647.6693,-4596.23379976,-31243.903099760002
53,-819.2715,-26511.4913,-4744.9542,118.86319368000001,-27330.7628,-4626.09100632,-31956.85380632
54,-630.1085,-26368.1,-4879.9627,119.4750216,-26998.208499999997,-4760.4876784,-31758.696178399998
55,-1123.08,-26329.4297,-4884.7656,120.38640047999999,-27452.509700000002,-4764.37919952,-32216.88889952
56,-555.4177,-26353.5221,-4973.4582,118.74024863999999,-26908.9398,-4854.71795136,-31763.657751360002
57,-251.626,-26153.6948,-5021.3684,120.9581136,-26405.3208,-4900.410286400001,-31305.7310864
58,-883.3535,-26302.4216,-4841.1206,120.23574695999999,-27185.775100000003,-4720.88485304,-31906.65995304
59,-86.3905,-26609.675,-4643.1402,116.98724519999999,-26696.0655,-4526.1529548,-31222.218454799997
